"X","group","names","scores","logfoldchanges","pvals","pvals_adj","cluster","avg_log2FC","p_val_adj","gene"
45616,1,"arahy.Tifrunner.gnm2.ann2.Ah18g033300",17.141373,2.2724102,7.29087551801074e-66,3.13122468945208e-63,1,2.2724102,3.13122468945208e-63,"arahy.Tifrunner.gnm2.ann2.Ah18g033300"
45617,1,"arahy.Tifrunner.gnm2.ann2.Ah09g430900",17.094755,3.7935493,1.62377743465704e-65,6.90849008741373e-63,1,3.7935493,6.90849008741373e-63,"arahy.Tifrunner.gnm2.ann2.Ah09g430900"
45618,1,"arahy.Tifrunner.gnm2.ann2.Ah04g393200",16.962006,2.370296,1.56894036625255e-64,6.61337418826675e-62,1,2.370296,6.61337418826675e-62,"arahy.Tifrunner.gnm2.ann2.Ah04g393200"
45619,1,"STRG.285",16.926828,2.8449793,2.85348829355879e-64,1.19176331262358e-61,1,2.8449793,1.19176331262358e-61,"STRG.285"
45620,1,"arahy.Tifrunner.gnm2.ann2.Ah16g132000",16.876896,2.515515,6.65545018900747e-64,2.72957400364303e-61,1,2.515515,2.72957400364303e-61,"arahy.Tifrunner.gnm2.ann2.Ah16g132000"
45621,1,"STRG.5721",16.793064,1.5767974,2.74312357681278e-63,1.11498176527522e-60,1,1.5767974,1.11498176527522e-60,"STRG.5721"
45622,1,"arahy.Tifrunner.gnm2.ann2.Ah05g381100",16.750935,2.4336252,5.57429974393325e-63,2.24570284551166e-60,1,2.4336252,2.24570284551166e-60,"arahy.Tifrunner.gnm2.ann2.Ah05g381100"
45623,1,"arahy.Tifrunner.gnm2.ann2.Ah14g006300",16.71191,2.5599368,1.07342766795296e-62,4.28655448735883e-60,1,2.5599368,4.28655448735883e-60,"arahy.Tifrunner.gnm2.ann2.Ah14g006300"
45624,1,"arahy.Tifrunner.gnm2.ann2.Ah06g105800",16.60716,3.4953673,6.18526832383675e-62,2.44850569716821e-59,1,3.4953673,2.44850569716821e-59,"arahy.Tifrunner.gnm2.ann2.Ah06g105800"
45625,1,"arahy.Tifrunner.gnm2.ann2.Ah13g310400",16.520515,3.1558962,2.61159702480482e-61,1.02491674963116e-58,1,3.1558962,1.02491674963116e-58,"arahy.Tifrunner.gnm2.ann2.Ah13g310400"
45626,1,"arahy.Tifrunner.gnm2.ann2.Ah13g539100",16.478125,3.4214513,5.26938033951136e-61,2.05028436389671e-58,1,3.4214513,2.05028436389671e-58,"arahy.Tifrunner.gnm2.ann2.Ah13g539100"
45627,1,"arahy.Tifrunner.gnm2.ann2.Ah20g132400",16.217329,2.086368,3.80383443332961e-59,1.45517444321762e-56,1,2.086368,1.45517444321762e-56,"arahy.Tifrunner.gnm2.ann2.Ah20g132400"
45628,1,"arahy.Tifrunner.gnm2.ann2.Ah15g078400",16.00004,2.2663367,1.27692172689482e-57,4.84421539126333e-55,1,2.2663367,4.84421539126333e-55,"arahy.Tifrunner.gnm2.ann2.Ah15g078400"
45629,1,"arahy.Tifrunner.gnm2.ann2.Ah17g005800",15.752269,1.8297199,6.62607917048737e-56,2.49293907567989e-53,1,1.8297199,2.49293907567989e-53,"arahy.Tifrunner.gnm2.ann2.Ah17g005800"
45630,1,"arahy.Tifrunner.gnm2.ann2.Ah03g509400",15.714677,3.3435369,1.19991582168895e-55,4.47745638250554e-53,1,3.3435369,4.47745638250554e-53,"arahy.Tifrunner.gnm2.ann2.Ah03g509400"
45631,1,"arahy.Tifrunner.gnm2.ann2.Ah03g271600",15.634651,2.8035815,4.22783812526519e-55,1.56478132369571e-52,1,2.8035815,1.56478132369571e-52,"arahy.Tifrunner.gnm2.ann2.Ah03g271600"
45632,1,"arahy.Tifrunner.gnm2.ann2.Ah18g019500",15.572976,2.1722558,1.11115303080639e-54,4.07936536890565e-52,1,2.1722558,4.07936536890565e-52,"arahy.Tifrunner.gnm2.ann2.Ah18g019500"
45633,1,"arahy.Tifrunner.gnm2.ann2.Ah16g055700",15.509197,3.7149212,3.00614486906302e-54,1.0948139121538e-51,1,3.7149212,1.0948139121538e-51,"arahy.Tifrunner.gnm2.ann2.Ah16g055700"
45634,1,"arahy.Tifrunner.gnm2.ann2.Ah03g509500",15.323536,1.8275332,5.32408790266453e-53,1.90845494236929e-50,1,1.8275332,1.90845494236929e-50,"arahy.Tifrunner.gnm2.ann2.Ah03g509500"
45635,1,"arahy.Tifrunner.gnm2.ann2.Ah09g295100",15.277778,3.3070805,1.07546486637694e-52,3.82495801382374e-50,1,3.3070805,3.82495801382374e-50,"arahy.Tifrunner.gnm2.ann2.Ah09g295100"
45636,1,"arahy.Tifrunner.gnm2.ann2.Ah03g459900",15.176373,3.1382737,5.07058319158517e-52,1.76208571918873e-49,1,3.1382737,1.76208571918873e-49,"arahy.Tifrunner.gnm2.ann2.Ah03g459900"
45637,1,"arahy.Tifrunner.gnm2.ann2.Ah20g132700",14.741623,2.6636388,3.48312753930139e-49,1.15741531459238e-46,1,2.6636388,1.15741531459238e-46,"arahy.Tifrunner.gnm2.ann2.Ah20g132700"
45638,1,"arahy.Tifrunner.gnm2.ann2.Ah15g314200",14.722152,2.1436994,4.64639385625064e-49,1.53277126023155e-46,1,2.1436994,1.53277126023155e-46,"arahy.Tifrunner.gnm2.ann2.Ah15g314200"
45639,1,"arahy.Tifrunner.gnm2.ann2.Ah10g092300",14.68541,2.165505,7.99497132042267e-49,2.61843938410735e-46,1,2.165505,2.61843938410735e-46,"arahy.Tifrunner.gnm2.ann2.Ah10g092300"
45640,1,"arahy.Tifrunner.gnm2.ann2.Ah08g333400",14.555195,2.0950606,5.4131780575665e-48,1.76021084209041e-45,1,2.0950606,1.76021084209041e-45,"arahy.Tifrunner.gnm2.ann2.Ah08g333400"
45641,1,"STRG.1696",14.553101,2.3249938,5.58144382040216e-48,1.80205424453892e-45,1,2.3249938,1.80205424453892e-45,"STRG.1696"
45642,1,"STRG.1326",14.340845,3.7912068,1.21566176838126e-46,3.87005498907613e-44,1,3.7912068,3.87005498907613e-44,"STRG.1326"
45643,1,"STRG.2605",14.203957,2.4562638,8.65830562256397e-46,2.69973085727125e-43,1,2.4562638,2.69973085727125e-43,"STRG.2605"
45644,1,"arahy.Tifrunner.gnm2.ann2.Ah10g032100",14.150159,2.1477191,1.86335984184233e-45,5.77058458775715e-43,1,2.1477191,5.77058458775715e-43,"arahy.Tifrunner.gnm2.ann2.Ah10g032100"
45645,1,"arahy.Tifrunner.gnm2.ann2.Ah09g404400",14.144391,1.5080446,2.02258847282713e-45,6.22137281330962e-43,1,1.5080446,6.22137281330962e-43,"arahy.Tifrunner.gnm2.ann2.Ah09g404400"
45646,1,"arahy.Tifrunner.gnm2.ann2.Ah04g000700",13.897241,2.461375,6.58310732570895e-44,2.01133810668171e-41,1,2.461375,2.01133810668171e-41,"arahy.Tifrunner.gnm2.ann2.Ah04g000700"
45647,1,"arahy.Tifrunner.gnm2.ann2.Ah13g113600",13.768865,3.0656555,3.92330640292505e-43,1.19069733791173e-40,1,3.0656555,1.19069733791173e-40,"arahy.Tifrunner.gnm2.ann2.Ah13g113600"
45648,1,"arahy.Tifrunner.gnm2.ann2.Ah15g562000",13.751252,2.5128798,5.00556483660053e-43,1.50909492464505e-40,1,2.5128798,1.50909492464505e-40,"arahy.Tifrunner.gnm2.ann2.Ah15g562000"
45649,1,"arahy.Tifrunner.gnm2.ann2.Ah03g075900",13.665743,2.3849926,1.6263647309614e-42,4.83912601387494e-40,1,2.3849926,4.83912601387494e-40,"arahy.Tifrunner.gnm2.ann2.Ah03g075900"
45650,1,"arahy.Tifrunner.gnm2.ann2.Ah15g394700",13.658866,2.1239405,1.78745594723337e-42,5.28390548973064e-40,1,2.1239405,5.28390548973064e-40,"arahy.Tifrunner.gnm2.ann2.Ah15g394700"
45651,1,"STRG.4743",13.603965,1.9401593,3.79302916226795e-42,1.11402490053604e-39,1,1.9401593,1.11402490053604e-39,"STRG.4743"
45652,1,"arahy.Tifrunner.gnm2.ann2.Ah11g444500",13.58793,2.9620826,4.72248545195007e-42,1.37811812637548e-39,1,2.9620826,1.37811812637548e-39,"arahy.Tifrunner.gnm2.ann2.Ah11g444500"
45653,1,"arahy.Tifrunner.gnm2.ann2.Ah04g427500",13.553413,3.6561081,7.56297401972618e-42,2.19297343486634e-39,1,3.6561081,2.19297343486634e-39,"arahy.Tifrunner.gnm2.ann2.Ah04g427500"
45654,1,"arahy.Tifrunner.gnm2.ann2.Ah05g307300",13.518401,2.55506,1.21794322023681e-41,3.5092181745608e-39,1,2.55506,3.5092181745608e-39,"arahy.Tifrunner.gnm2.ann2.Ah05g307300"
